id,title,release_year,budget,revenue,original_language,runtime,popularity,goodness_enc,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
166624,Treading Water,2013,4700000,0,en,92.0,0.217538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167073,Brooklyn,2015,11000000,62076141,en,111.0,39.337949,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168027,Freaky Deaky,2012,0,0,en,90.0,4.448353,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168259,Furious 7,2015,190000000,1506249360,en,137.0,102.32221700000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168530,Ride Along,2014,25000000,153997819,en,99.0,28.468000000000004,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
168672,American Hustle,2013,40000000,251171807,en,138.0,49.664128000000005,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
168705,BloodRayne,2005,25000000,2405420,en,95.0,7.008216,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
169917,A Walk Among the Tombstones,2014,28000000,53181600,en,113.0,61.309619,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
170687,The Boxtrolls,2014,60000000,108255770,en,97.0,30.656345,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
171274,Inherent Vice,2014,20000000,11110975,en,148.0,45.742217,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
171424,The Green Inferno,2014,5000000,6833445,en,100.0,17.845160999999997,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
171759,The Lost Medallion: The Adventures of Billy Stone,2013,0,0,en,97.0,2.952932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172385,Rio 2,2014,103000000,500188435,en,102.0,42.400240000000004,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172391,Khumba,2013,20000000,27187375,en,85.0,6.459787,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
172533,Drinking Buddies,2013,0,343341,en,90.0,17.378455,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
173224,Along the Roadside,2013,250,0,en,118.0,0.166655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173931,Legend of a Rabbit,2011,19000000,2570000,zh,89.0,0.7386520000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
174311,All Is Bright,2013,0,0,en,107.0,3.613577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
174362,Bending Steel,2013,0,0,en,93.0,0.048726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174751,Jane Got a Gun,2016,25000000,1397284,en,98.0,15.333575,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
175291,Cheap Thrills,2013,0,0,en,85.0,10.826253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175528,Baggage Claim,2013,8500000,22456509,en,96.0,11.436405,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
175541,Black Nativity,2013,17500000,7018189,en,93.0,7.180403,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
175555,A Madea Christmas,2013,0,0,en,100.0,5.377155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175574,Free Birds,2013,55000000,110000000,en,91.0,14.414937,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176074,Reality Show,2015,0,0,en,92.0,0.47212299999999996,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
176077,Enter the Dangerous Mind,2013,0,0,en,88.0,1.9988259999999998,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176124,Home Run,2013,1200000,2861020,en,114.0,3.085411,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
177572,Big Hero 6,2014,165000000,652105443,en,102.0,203.73459,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177677,Mission: Impossible - Rogue Nation,2015,150000000,682330139,en,131.0,114.52223700000002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178862,Aroused,2013,0,0,en,73.0,2.557258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179144,The Great Beauty,2013,12400000,8371085,it,142.0,32.523573,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
180296,They Came Together,2014,0,0,en,84.0,12.036888000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180383,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,500000,0,en,88.0,0.425195,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
181283,Child 44,2015,50000000,3324330,en,137.0,40.371097999999996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
181330,Kevin Hart: Let Me Explain,2013,0,32230907,en,74.0,9.799357,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
181533,Night at the Museum: Secret of the Tomb,2014,127000000,349424282,en,97.0,115.597753,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
182291,On The Downlow,2004,0,0,en,90.0,0.029757,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182873,Green Street Hooligans: Underground,2013,0,0,en,90.0,5.0005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183894,Emma,2009,0,0,en,240.0,2.1356889999999997,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
184098,Think Like a Man Too,2014,24000000,70181428,en,105.0,15.237142,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
184315,Hercules,2014,100000000,243400000,en,99.0,76.842247,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184341,Hands of Stone,2016,20000000,0,en,105.0,7.444189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184345,A Haunted House 2,2014,0,0,en,87.0,18.428909,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
184346,Deliver Us from Evil,2014,30000000,0,en,118.0,29.359201000000002,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
184374,Cinco de Mayo: La Batalla,2013,10000000,0,es,125.0,0.072085,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185008,Yeh Jawaani Hai Deewani,2013,7700000,46000000,hi,159.0,3.3531760000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
185465,Manito,2002,0,0,en,78.0,0.039264,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185567,Zulu,2013,16000000,0,en,110.0,14.529496,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
186935,Heli,2013,1000000,0,es,105.0,3.629777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187017,22 Jump Street,2014,50000000,188441614,en,112.0,52.380982,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188161,A Million Ways to Die in the West,2014,0,0,en,116.0,32.808675,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188166,Blue Ruin,2014,0,258384,en,90.0,25.349757999999998,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
188207,The Legend of Hercules,2014,70000000,61279452,en,99.0,25.020428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188652,The Ghastly Love of Johnny X,2013,0,0,en,106.0,0.209475,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
188927,Star Trek Beyond,2016,185000000,343471816,en,122.0,65.352913,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189711,Love in the Time of Monsters,2014,0,0,en,0.0,0.13361900000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190847,The Last Days on Mars,2013,0,0,en,98.0,18.764453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190859,American Sniper,2014,58800000,542307423,en,133.0,87.53437,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190955,Blood Ties,2013,25500000,2415472,en,128.0,12.756344,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
191229,Iguana,1988,0,0,en,88.0,0.214704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191714,The Lunchbox,2013,1000000,4235151,hi,104.0,14.017809,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
192102,3 Days to Kill,2014,28000000,52597999,en,113.0,41.638961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192132,Palo Alto,2014,0,0,en,100.0,16.570708,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
192134,Dom Hemingway,2013,0,523511,en,93.0,10.416332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192136,Mandela: Long Walk to Freedom,2013,35000000,27330000,en,141.0,15.509570000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192141,No Escape,2015,5000000,54418872,en,103.0,38.006982,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
192210,Open Road,2013,3000000,0,en,85.0,2.680629,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192577,Space Pirate Captain Harlock,2013,30000000,17137302,ja,115.0,14.726338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193603,Hayride,2012,60000,0,en,93.0,0.412342,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
193610,The Other Woman,2014,40000000,196781193,en,109.0,34.519636,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193613,Metallica: Through the Never,2013,18000000,7972967,en,93.0,7.871686,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
193722,R100,2013,5500000,0,ja,100.0,3.21392,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
